QuestionType,Question,QuestionID,Answer
radio,General discomfort,q1,2
radio,Fatique,q2,3
radio,Headache,q3,2
radio,Eye strain,q4,2
radio,Difficulty focusing,q5,3
radio,Salivation increasing,q6,2
radio,Sweating,q7,3
radio,Nausea,q8,3
radio,Difficulty concentrating,q9,3
radio,<< Fullness of the Head >>,q10,2
radio,Blurred vision,q11,3
radio,Dizziness with eyes open,q12,3
radio,Dizziness with eyes closed,q13,3
radio,Vertigo (experienced as loss of orientation with respect to vertical upright),q14,2
radio,Stomach awareness (feeling of discomfort which is just short of nausea),q15,3
radio,Burping,q16,3

