QuestionType,Question,QuestionID,Answer
radio,UIST is an amazing conference,q1,5
radio,VR is a beautiful research tool,q2,5
radio,Happiness is the key to success,q3,5
radio,Debugging is awesome,q1,7
radio,I like fixing bugs,q2,7
radio,I would use the VRQuestionnaireToolkit,q3,7
radioGrid,Hololens_The system was easy to use,q1,5
radioGrid,Oculus Rift_The system was easy to use,,5
radioGrid,Vive_The system was easy to use,,5
radioGrid,Magic Leap_The system was easy to use,,5
radioGrid,Hololens_The system was easy to use,q1,7
radioGrid,Oculus Rift_The system was easy to use,,7
radioGrid,Vive_The system was easy to use,,7
radioGrid,Magic Leap_The system was easy to use,,7
checkbox, If you don’t use VR frequently; what is keeping you from adopting this?,q1,2
checkbox, If you don’t use VR frequently; what is keeping you from adopting this?,q1,3
checkbox, If you don’t use VR frequently; what is keeping you from adopting this?,q1,4
checkbox, If you don’t use VR frequently; what is keeping you from adopting this?,q1,5
linearSlider,Temporal Demand:			How hurried or rushed was the pace of the task?,s1,3
linearSlider,Physical Demand:				How physically demanding was the task?,s1,12
linearSlider,Mental Demand:				How mentally demanding was the task?,s1,20
linearGrid,Mental Demand:				How mentally demanding was the task?,s1,20
linearGrid,Physical Demand:				How physically demanding was the task?,s2,20
linearGrid,Temporal Demand:		    How hurried or rushed was the pace of the task?,s3,20
dropdown,Demanding,d1,0
dropdown,Mental,d2,0
dropdown,Physical,d3,0

