QuestionType;Question;QuestionID;Answer
radio;UIST is an amazing conference;q1;2
radio;VR is a beautiful research tool;q2;3
radio;Happiness is the key to success;q3;2
radio;Debugging is awesome;q4;4
radio;I like fixing bugs;q5;4
radio;I would use the VRQuestionnaireToolkit;q6;4
radioGrid;Hololens_The system was easy to use;q7;2
radioGrid;Oculus Rift_The system was easy to use;q7;2
radioGrid;Vive_The system was easy to use;q7;4
radioGrid;Magic Leap_The system was easy to use;q7;4
radioGrid;Hololens_The system was easy to use;q8;3
radioGrid;Oculus Rift_The system was easy to use;q8;3
radioGrid;Vive_The system was easy to use;q8;1
radioGrid;Magic Leap_The system was easy to use;q8;6
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming;q9;
linearSlider;Temporal Demand:			How hurried or rushed was the pace of the task?;s1;1
linearSlider;Physical Demand:				How physically demanding was the task?;s2;6
linearSlider;Mental Demand:				How mentally demanding was the task?;s3;17
linearGrid;Mental Demand:				How mentally demanding was the task?;s4;13
linearGrid;Physical Demand:				How physically demanding was the task?;s5;9
linearGrid;Temporal Demand:		    How hurried or rushed was the pace of the task?;s6;
dropdown;Demanding;d1;2
dropdown;Mental;d2;1
dropdown;Physical;d3;0

