QuestionType;Question;QuestionID;Answer
radio;UIST is an amazing conference;q1;
radio;VR is a beautiful research tool;q2;
radio;Happiness is the key to success;q3;
radio;Debugging is awesome;q4;1
radio;I like fixing bugs;q5;1
radio;I would use the VRQuestionnaireToolkit;q6;1
radioGrid;Hololens_The system was easy to use;q7;1
radioGrid;Oculus Rift_The system was easy to use;q7;1
radioGrid;Vive_The system was easy to use;q7;2
radioGrid;Magic Leap_The system was easy to use;q7;2
radioGrid;Hololens_The system was easy to use;q8;2
radioGrid;Oculus Rift_The system was easy to use;q8;1
radioGrid;Vive_The system was easy to use;q8;3
radioGrid;Magic Leap_The system was easy to use;q8;2
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive;q9;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ;q9;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ;q9;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ;q9;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough;q9;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming;q9;1
linearSlider;Temporal Demand:			How hurried or rushed was the pace of the task?;s1;3
linearSlider;Physical Demand:				How physically demanding was the task?;s2;10
linearSlider;Mental Demand:				How mentally demanding was the task?;s3;12
linearGrid;Mental Demand:				How mentally demanding was the task?;s4;20
linearGrid;Physical Demand:				How physically demanding was the task?;s5;16
linearGrid;Temporal Demand:		    How hurried or rushed was the pace of the task?;s6;6
dropdown;Demanding;d1;1
dropdown;Mental;d2;0
dropdown;Physical;d3;1

